,Number of Iterations,Initial Temperature,Stopping Temperature,Step Size,Time Elapsed,Percentage leftover slots out of prescribed,Final objective function
0,1,10,0.01,1,0.3318259999999995,0.5583333333333333,330
1,1,50,0.01,1,0.4427399999999988,0.6166666666666667,411
2,1,30,0.01,1,0.27374099999999757,0.6166666666666667,391
3,1,15,1.0,1,0.2953870000000016,0.5333333333333333,371
4,1,15,0.1,1,0.3067150000000005,0.5416666666666667,366
5,1,15,0.01,5,0.8657600000000016,0.675,380
6,1,15,0.001,1,0.24540199999999857,0.575,372
7,1,50,0.01,1,0.2862129999999965,0.6083333333333334,436
8,1,15,0.01,1,0.2827650000000048,0.5916666666666667,336
9,50,10,0.01,1,13.224328,0.5916666666666667,336
10,5,10,0.01,1,1.9237930000000034,0.6333333333333333,372
